date,data_type,sd,value
2021-01-20,Non-B117,520.577038731541,1427.2544166177465
2021-01-21,B117,69.4449025535728,347.04484862967877
2021-01-21,Non-B117,514.5584769706378,1379.534597963761
2021-01-22,B117,71.30508132132425,361.30135750767533
2021-01-22,Non-B117,588.6361575258887,1333.035432795409
2021-01-23,B117,74.67181150801893,375.601603676133
2021-01-23,Non-B117,656.3799063070256,1281.669130019087
2021-01-24,B117,77.90259542268453,390.0088591976946
2021-01-24,Non-B117,655.24979549024,1221.303994698321
2021-01-25,B117,81.37074482335059,404.2025746283974
2021-01-25,Non-B117,610.8877207575161,1157.6305390344532
2021-01-26,B117,85.0768477984169,416.100365118434
2021-01-26,Non-B117,536.3449351816523,1095.710656652753
2021-01-27,B117,87.43068863288325,425.5256263589593
2021-01-27,Non-B117,431.2757300733896,1036.55130842344
2021-01-28,B117,89.47296980017836,435.179775399594
2021-01-28,Non-B117,358.3758851762437,983.2626700954922
2021-01-29,B117,90.13261442220622,445.0287389083433
2021-01-29,Non-B117,351.9604899871254,932.5935922211847
2021-01-30,B117,91.46447743353077,453.89905306999316
2021-01-30,Non-B117,360.8484982076613,877.3740936954229
2021-01-31,B117,95.29555286372853,462.7020257898164
2021-01-31,Non-B117,356.9045955453843,819.6682056324304
2021-02-01,B117,99.60385333329134,472.7497311923702
2021-02-01,Non-B117,336.4333341351116,765.5977038251801
2021-02-02,B117,102.93486657671536,483.6369225950096
2021-02-02,Non-B117,298.99618677876674,717.6342994768418
2021-02-03,B117,105.09819821681849,495.21138062900263
2021-02-03,Non-B117,255.24229077042702,674.9685171441904
2021-02-04,B117,105.24670562653459,507.30174824176027
2021-02-04,Non-B117,209.0920453203981,633.6668170130708
2021-02-05,B117,105.34938351196183,519.6512672763017
2021-02-05,Non-B117,167.2305309401243,591.4942887924752
2021-02-06,B117,107.71092825655916,535.6638926319495
2021-02-06,Non-B117,149.27517394079234,548.9480641030938
2021-02-07,B117,112.94718383335648,555.9113543407126
2021-02-07,Non-B117,140.92113983002997,507.9363571907106
2021-02-08,B117,120.37877522580037,576.62348466842775
