date,region,sequenced,b117
2021-02-14,Espace Mittelland,16,3
2021-02-14,Grossregion Nordwestschweiz,8,1
2021-02-14,Grossregion Zurich,3,1
2021-02-14,Lake Geneva region,8,4
2021-02-14,Ostschweiz,2,2
2021-02-15,Espace Mittelland,17,4
2021-02-15,Grossregion Nordwestschweiz,25,6
2021-02-15,Grossregion Tessin,1,0
2021-02-15,Grossregion Zurich,4,0
2021-02-15,Lake Geneva region,18,14
2021-02-15,Ostschweiz,9,4
2021-02-16,Central Switzerland,2,0
2021-02-16,Espace Mittelland,24,10
2021-02-16,Grossregion Nordwestschweiz,19,6
2021-02-16,Grossregion Tessin,6,0
2021-02-16,Grossregion Zurich,12,6
2021-02-16,Lake Geneva region,15,10
2021-02-16,Ostschweiz,3,2
2021-02-17,Central Switzerland,3,1
2021-02-17,Espace Mittelland,41,27
2021-02-17,Grossregion Nordwestschweiz,27,11
2021-02-17,Grossregion Tessin,10,1
2021-02-17,Grossregion Zurich,12,2
2021-02-17,Lake Geneva region,14,10
2021-02-17,Ostschweiz,13,4
2021-02-18,Central Switzerland,3,0
2021-02-18,Espace Mittelland,13,5
2021-02-18,Grossregion Nordwestschweiz,15,3
2021-02-18,Grossregion Zurich,6,2
2021-02-18,Lake Geneva region,8,6
2021-02-18,Ostschweiz,9,2
2021-02-19,Central Switzerland,3,1
2021-02-19,Espace Mittelland,25,13
2021-02-19,Grossregion Nordwestschweiz,24,8
2021-02-19,Grossregion Tessin,0,0
2021-02-19,Grossregion Zurich,15,8
2021-02-19,Lake Geneva region,6,6
2021-02-19,Ostschweiz,2,1
2021-02-20,Espace Mittelland,14,6
2021-02-20,Grossregion Nordwestschweiz,2,2
2021-02-20,Grossregion Zurich,5,1
2021-02-20,Lake Geneva region,4,4
2021-02-20,Ostschweiz,9,8
2021-02-21,Espace Mittelland,17,15
2021-02-21,Grossregion Nordwestschweiz,9,5
2021-02-21,Grossregion Zurich,3,3
2021-02-21,Lake Geneva region,4,4
2021-02-21,Ostschweiz,6,6
2021-02-22,Central Switzerland,2,1
2021-02-22,Espace Mittelland,22,13
2021-02-22,Grossregion Nordwestschweiz,27,14
2021-02-22,Grossregion Tessin,2,1
2021-02-22,Grossregion Zurich,20,15
2021-02-22,Lake Geneva region,22,20
2021-02-22,Ostschweiz,5,4
2021-02-23,Central Switzerland,1,0
2021-02-23,Espace Mittelland,17,8
2021-02-23,Grossregion Nordwestschweiz,26,18
2021-02-23,Grossregion Tessin,2,0
2021-02-23,Grossregion Zurich,14,10
2021-02-23,Lake Geneva region,16,12
2021-02-23,Ostschweiz,3,1
2021-02-24,Central Switzerland,4,3
2021-02-24,Espace Mittelland,20,13
2021-02-24,Grossregion Nordwestschweiz,15,9
2021-02-24,Grossregion Tessin,1,1
2021-02-24,Grossregion Zurich,11,7
2021-02-24,Lake Geneva region,6,6
2021-02-24,Ostschweiz,4,4
2021-02-25,Central Switzerland,2,0
2021-02-25,Espace Mittelland,27,17
2021-02-25,Grossregion Nordwestschweiz,16,8
2021-02-25,Grossregion Tessin,1,1
2021-02-25,Grossregion Zurich,1,0
2021-02-25,Lake Geneva region,5,4
2021-02-26,Espace Mittelland,9,3
2021-02-26,Grossregion Nordwestschweiz,18,6
2021-02-26,Grossregion Tessin,0,0
2021-02-26,Grossregion Zurich,6,6
2021-02-26,Lake Geneva region,1,1
2021-02-26,Ostschweiz,1,1
2021-02-27,Central Switzerland,0,0
2021-02-27,Espace Mittelland,1,0
2021-02-27,Grossregion Nordwestschweiz,8,3
2021-02-27,Grossregion Zurich,2,2
2021-02-27,Lake Geneva region,2,2
2021-02-28,Ostschweiz,1,1
2021-03-01,Central Switzerland,2,2
2021-03-01,Espace Mittelland,16,12
2021-03-01,Grossregion Nordwestschweiz,24,15
2021-03-01,Grossregion Tessin,1,1
2021-03-01,Grossregion Zurich,14,10
2021-03-01,Lake Geneva region,13,11
2021-03-01,Ostschweiz,5,1
2021-03-02,Espace Mittelland,23,15
2021-03-02,Grossregion Nordwestschweiz,31,25
2021-03-02,Grossregion Tessin,3,0
2021-03-02,Grossregion Zurich,8,8
2021-03-02,Lake Geneva region,17,16
2021-03-02,Ostschweiz,8,6
2021-03-03,Central Switzerland,2,1
2021-03-03,Espace Mittelland,36,29
2021-03-03,Grossregion Nordwestschweiz,32,29
2021-03-03,Grossregion Tessin,2,1
2021-03-03,Grossregion Zurich,14,11
2021-03-03,Lake Geneva region,15,14
2021-03-03,Ostschweiz,3,3
2021-03-04,Central Switzerland,3,2
2021-03-04,Espace Mittelland,25,20
2021-03-04,Grossregion Nordwestschweiz,27,21
2021-03-04,Grossregion Zurich,10,8
2021-03-04,Lake Geneva region,3,3
2021-03-04,Ostschweiz,2,2
2021-03-05,Central Switzerland,4,2
2021-03-05,Espace Mittelland,7,6
2021-03-05,Grossregion Nordwestschweiz,17,13
2021-03-05,Grossregion Tessin,2,1
2021-03-05,Grossregion Zurich,7,4
2021-03-05,Lake Geneva region,10,9
2021-03-05,Ostschweiz,5,5
2021-03-06,Central Switzerland,4,3
2021-03-06,Espace Mittelland,1,0
2021-03-06,Grossregion Nordwestschweiz,9,7
2021-03-06,Grossregion Tessin,1,1
2021-03-06,Grossregion Zurich,2,2
2021-03-06,Lake Geneva region,3,2
2021-03-06,Ostschweiz,1,1
2021-03-07,Espace Mittelland,5,5
2021-03-07,Grossregion Nordwestschweiz,2,2
2021-03-07,Lake Geneva region,0,0
2021-03-08,Central Switzerland,2,2
2021-03-08,Espace Mittelland,24,20
2021-03-08,Grossregion Nordwestschweiz,29,27
2021-03-08,Grossregion Tessin,3,1
2021-03-08,Grossregion Zurich,8,5
2021-03-08,Lake Geneva region,18,17
2021-03-08,Ostschweiz,18,15
2021-03-09,Central Switzerland,1,1
2021-03-09,Espace Mittelland,26,23
2021-03-09,Grossregion Nordwestschweiz,46,41
2021-03-09,Grossregion Tessin,6,6
2021-03-09,Grossregion Zurich,15,13
2021-03-09,Lake Geneva region,10,7
2021-03-09,Ostschweiz,2,2
2021-03-10,Central Switzerland,3,2
2021-03-10,Espace Mittelland,27,21
2021-03-10,Grossregion Nordwestschweiz,37,31
2021-03-10,Grossregion Tessin,5,3
2021-03-10,Grossregion Zurich,23,14
2021-03-10,Lake Geneva region,17,17
2021-03-10,Ostschweiz,5,3
2021-03-11,Central Switzerland,3,2
2021-03-11,Espace Mittelland,23,21
2021-03-11,Grossregion Nordwestschweiz,42,28
2021-03-11,Grossregion Tessin,1,1
2021-03-11,Grossregion Zurich,14,11
2021-03-11,Lake Geneva region,12,12
2021-03-11,Ostschweiz,11,10
2021-03-12,Central Switzerland,1,0
2021-03-12,Espace Mittelland,13,9
2021-03-12,Grossregion Nordwestschweiz,37,28
2021-03-12,Grossregion Tessin,4,4
2021-03-12,Grossregion Zurich,20,18
2021-03-12,Lake Geneva region,12,11
2021-03-12,Ostschweiz,9,9
2021-03-13,Central Switzerland,0,0
2021-03-13,Espace Mittelland,17,15
2021-03-13,Grossregion Nordwestschweiz,26,22
2021-03-13,Grossregion Zurich,14,14
2021-03-13,Lake Geneva region,6,6
2021-03-13,Ostschweiz,15,15
2021-03-14,Espace Mittelland,19,14
2021-03-14,Grossregion Nordwestschweiz,29,25
2021-03-14,Grossregion Zurich,4,4
2021-03-14,Lake Geneva region,3,3
2021-03-14,Ostschweiz,13,13
2021-03-15,Central Switzerland,6,4
2021-03-15,Espace Mittelland,33,30
2021-03-15,Grossregion Nordwestschweiz,79,75
2021-03-15,Grossregion Tessin,6,5
2021-03-15,Grossregion Zurich,20,18
2021-03-15,Lake Geneva region,18,16
2021-03-15,Ostschweiz,9,8
2021-03-16,Central Switzerland,5,4
2021-03-16,Espace Mittelland,40,35
