date,year,week,region,cases
2021-02-16,2021,7,Grossregion Zurich,174
2021-02-16,2021,7,Lake Geneva region,366
2021-02-16,2021,7,Ostschweiz,136
2021-02-17,2021,7,Central Switzerland,84
2021-02-17,2021,7,Espace Mittelland,261
2021-02-17,2021,7,Grossregion Nordwestschweiz,131
2021-02-17,2021,7,Grossregion Tessin,52
2021-02-17,2021,7,Grossregion Zurich,215
2021-02-17,2021,7,Lake Geneva region,331
2021-02-17,2021,7,Ostschweiz,141
2021-02-18,2021,7,Central Switzerland,57
2021-02-18,2021,7,Espace Mittelland,248
2021-02-18,2021,7,Grossregion Nordwestschweiz,104
2021-02-18,2021,7,Grossregion Tessin,27
2021-02-18,2021,7,Grossregion Zurich,168
2021-02-18,2021,7,Lake Geneva region,292
2021-02-18,2021,7,Ostschweiz,110
2021-02-19,2021,7,Central Switzerland,95
2021-02-19,2021,7,Espace Mittelland,215
2021-02-19,2021,7,Grossregion Nordwestschweiz,127
2021-02-19,2021,7,Grossregion Tessin,50
2021-02-19,2021,7,Grossregion Zurich,145
2021-02-19,2021,7,Lake Geneva region,345
2021-02-19,2021,7,Ostschweiz,118
2021-02-20,2021,7,Central Switzerland,44
2021-02-20,2021,7,Espace Mittelland,136
2021-02-20,2021,7,Grossregion Nordwestschweiz,62
2021-02-20,2021,7,Grossregion Tessin,31
2021-02-20,2021,7,Grossregion Zurich,120
2021-02-20,2021,7,Lake Geneva region,238
2021-02-20,2021,7,Ostschweiz,61
2021-02-21,2021,7,Central Switzerland,25
2021-02-21,2021,7,Espace Mittelland,109
2021-02-21,2021,7,Grossregion Nordwestschweiz,52
2021-02-21,2021,7,Grossregion Tessin,32
2021-02-21,2021,7,Grossregion Zurich,66
2021-02-21,2021,7,Lake Geneva region,199
2021-02-21,2021,7,Ostschweiz,42
2021-02-22,2021,8,Central Switzerland,79
2021-02-22,2021,8,Espace Mittelland,289
2021-02-22,2021,8,Grossregion Nordwestschweiz,144
2021-02-22,2021,8,Grossregion Tessin,69
2021-02-22,2021,8,Grossregion Zurich,181
2021-02-22,2021,8,Lake Geneva region,463
2021-02-22,2021,8,Ostschweiz,185
2021-02-23,2021,8,Central Switzerland,83
2021-02-23,2021,8,Espace Mittelland,261
2021-02-23,2021,8,Grossregion Nordwestschweiz,132
2021-02-23,2021,8,Grossregion Tessin,58
2021-02-23,2021,8,Grossregion Zurich,182
2021-02-23,2021,8,Lake Geneva region,400
2021-02-23,2021,8,Ostschweiz,144
2021-02-24,2021,8,Central Switzerland,94
2021-02-24,2021,8,Espace Mittelland,238
